SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
MonthlyRate,,"Monthly Rate",R1365,"Monthly Rate",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
MonthsAvailable,,"Months Available",R4339,"Months Available",1000,Character,,1,LookupMulti,Left,0,,MonthsAvailable,100,,,,,,0,,0,,,,,
NumUnitFloor,,"Num Unit Floor",R2489,"Num Unit Floor",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OffSeasonRate,,"Off Season Rate",R1368,"Off Season Rate",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
OneTimeRecLeaseFee,,"One Time Rec Lease Fee",R1369,"One Time Rec Lease Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OwnerPays,,"Owner Pays",R1375,"Owner Pays",1000,Character,,1,LookupMulti,Left,0,,OwnerPays,100,,,,,,0,,0,,,,,
ParcelNumber,,"Parcel Number",R1377,"Parcel Number",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Parking,,Parking,R1378,Parking,1000,Character,,1,LookupMulti,Left,0,,Parking,100,,,,,,0,,0,,,,,
PerApplicantCost,,"Per Applicant Cost",R4341,"Per Applicant Cost",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
PetDepositDesc,,"Pet Deposit Desc",R1382,"Pet Deposit Desc",75,Character,,1,Lookup,Left,0,,PetDepositDesc,1,,,,,,0,,0,,,,,
